,,,,,,,,,,,,,,,,
The Normal CSV file format for New  lists,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Id,title,order,default,activity,notes,codes,,,,,,,,,,
sample1,sample1,8,1,1,Description,76485.144,,,,,,,,,,
sample2,sample2,1,0,1,Description,76486.144,,,,,,,,,,
sample3,sample3,1,0,1,Description,76487.144,,,,,,,,,,
sample4,sample4,3,0,1,Description,76488.144,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
The CSV file format for Fee Sheet ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
fs_category,fs_option,fs_codes  ,,,,,,,,,,,,,,
1New Patient,1Brief ,CPT499201,,,,,,,,,,,,,,
1New Patient,2Limited,CPT499202,,,,,,,,,,,,,,
1New Patient,3Detailed,CPT499203,,,,,,,,,,,,,,
1New Patient,4Extended,CPT499204,,,,,,,,,,,,,,
1New Patient,5Comprehensive,CPT499205,,,,,,,,,,,,,,
2EstablishedPatient,1Brief,CPT499211,,,,,,,,,,,,,,
2EstablishedPatient,2Limited,CPT499212,,,,,,,,,,,,,,
2EstablishedPatient,Extended,CPT499214,,,,,,,,,,,,,,
2EstablishedPatient,5Comprehensive,CPT499215,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 The CSV file format for Code Types,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Active,Key,ID,Label,Seq,ModLength,Justify,Mask,Claims,Fees,Relations,Hide,Procedure,Diagnosis,ClinicalTerm,Medical Problem,Drug
1, ICD9,1,ICD9 Diagnosis,0,0,,1,,,,,,,,,1
1, CPT4,2,CPT4 Procedure/Service,1,0,icd9,,1,1,,,,,,1,
1, HCPCS,3,HCPCS Procedure/Service,2,14,,,,,1,,,,1,,
1, CVX,4,CVX Immunization,3,0,icd9,,,,,1,1,1,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 The CSV file format for issue Types,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Active,Order,Type,Plural,Singular,Abbreviation,Force Show,,,,,,,,,,
1,0,custom type1,custom type1,custom type1,custom type1,1,,,,,,,,,,
1,1,custom type2,custom type2,custom type2,custom type2,1,,,,,,,,,,
1,45,custom type3,custom type3,custom type3,custom type3,0,,,,,,,,,,
1,3,custom type4,custom type4,custom type4,custom type4,0,,,,,,,,,,
1,4,custom type5,custom type5,custom type5,custom type5,1,,,,,,,,,,
